,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
99,Light The Torch,Calm Before the Storm,3Va7uA9dy38M6FFQZ6p8aq,43,1.34e-05,0.377,235013,0.975,0.00344,2,0.268,-4.31,0,0.171,163.168,4,0.311
100,Beast In Black,This Is War,7fuEcq452vZWxzKtKw8zef,45,0.000209,0.312,219873,0.901,0.186,4,0.2,-6.531,0,0.0928,174.067,3,0.163
101,Nothing More,Here's To The Heartache,144VTMTXicEwTOJQPcrpAF,55,0.00113,0.165,257093,0.919,0.0,5,0.395,-5.321,1,0.143,83.382,3,0.306
102,Buckcherry,Crazy Bitch,5XfQTbialQHn9PhDb0p85H,66,0.0247,0.661,204960,0.978,0.0,1,0.0856,-3.064,0,0.107,98.019,4,0.592
103,Volbeat,Mr. & Mrs. Ness,5YAECacNDZGAVELNC3eQB5,40,7.42e-06,0.268,227200,0.972,0.189,3,0.218,-3.9,1,0.0524,109.324,4,0.549
104,Korn,Coming Undone,6p2liQLGoDaLXgND68bfVt,71,0.000658,0.687,199773,0.677,0.000146,2,0.0564,-4.172,1,0.0508,75.052,4,0.546
105,Metallica,Until It Sleeps,2Iv4HSoMX2fDeXFcOJWyWX,58,0.000355,0.577,267912,0.914,0.107,8,0.186,-4.392,0,0.0293,113.403,4,0.741
106,Nickelback,Savin' Me,4Gd9PUEuOTOJtbgd4YxLXM,64,0.000731,0.441,219320,0.815,0.0,3,0.414,-4.088,1,0.0276,164.021,4,0.522
107,Bloodbound,Slayer of Kings,0qoznAGKZOBgne7MiycPPc,48,0.000596,0.397,303787,0.929,0.000541,2,0.315,-4.511,1,0.116,149.936,4,0.116
108,Sabaton,Aces in Exile,1rLMvAfjboc7fAtoRB7t3Y,35,0.000818,0.293,262707,0.983,0.000143,6,0.27,-2.925,0,0.138,114.474,3,0.483
109,Linkin Park,IN MY REMAINS,00KfIFi2TpAaQGPbRbFbKJ,63,0.00401,0.553,200693,0.907,0.0,9,0.266,-5.623,0,0.0484,100.967,4,0.451
110,My Darkest Days,Come Undone,4qR4J8QRTeN0W8Rp5nVdzi,53,0.000175,0.436,248493,0.875,0.0,3,0.122,-4.303,1,0.0315,174.017,4,0.506
111,Mötley Crüe,Wild Side,41wWrTueWew7qUU0Ru87Mp,69,0.00742,0.596,281960,0.896,0.00057,0,0.372,-4.635,1,0.0382,115.092,4,0.456
112,Five Finger Death Punch,Walk Away,61fgzLJq9S6yeFWM7PmscX,49,2.27e-05,0.417,222627,0.935,0.000937,4,0.292,-3.505,1,0.102,135.957,4,0.254
113,Dio,Holy Diver,54yLLvpezvPO1lA3GspiZj,67,0.0125,0.473,340640,0.783,0.475,10,0.268,-10.671,0,0.0869,91.976,4,0.124
114,Whitechapel,The Other Side,67QNa9AKudepux8L9R970r,52,2.16e-05,0.193,197227,0.972,0.152,0,0.3,-3.634,1,0.13,161.849,3,0.107
115,Audioslave,Be Yourself,3zwmW1gM4E8FlHXV5nE16u,70,0.178,0.424,278973,0.845,3.58e-06,11,0.18,-3.467,0,0.0528,116.657,4,0.379
116,Pretty Maids,Please Don't Leave Me,77ZIkT6DwOXP3RCU2nqNJq,46,0.0415,0.505,315000,0.873,0.0679,1,0.213,-7.197,0,0.0357,120.047,4,0.52
117,Red Hot Chili Peppers,Detroit,5y7IfSDhBHFVnlGj1UrlA1,61,0.000277,0.439,226640,0.885,0.00367,4,0.372,-4.679,1,0.0625,92.738,4,0.495
118,In Flames,Us Against the World,46xvWF4o1MZM7wWGKTJh31,39,0.00169,0.485,220626,0.938,7.83e-06,10,0.087,-4.46,0,0.112,94.98,4,0.254
119,Slipknot,Killpop,6AAZigYqOch79lKcrSBOv0,63,0.000311,0.306,225067,0.926,0.000644,1,0.0776,-2.754,0,0.0912,158.47,4,0.483
120,Opeth,Windowpane,4uJSCrI7r0usNJ3aaHAuC6,56,0.156,0.328,464280,0.553,0.412,6,0.0985,-6.252,1,0.0267,159.959,4,0.322
121,Adelitas Way,Cage The Beast,5MY50Gj2K5g3P9vSqYtN0J,54,0.000404,0.526,196893,0.975,1.77e-06,1,0.3,-3.853,0,0.078,102.99,4,0.427
122,W.A.S.P.,I Wanna Be Somebody,6w8dBm5KlXxWejYrbGS1EJ,65,0.000826,0.285,223533,0.825,0.0,1,0.268,-7.049,0,0.0466,164.611,4,0.516
123,Amorphis,House of Sleep,0RjYpmWTWpCKbAFvqpkk9u,46,0.00309,0.428,255530,0.864,0.114,7,0.147,-6.371,0,0.0599,125.017,4,0.365
124,Metallica,Welcome Home (Sanitarium) - Remastered,1FPSkRkDlthbAceSIIWc4C,59,0.000329,0.339,387147,0.772,0.128,0,0.103,-9.642,1,0.0337,106.826,4,0.445
125,Live,Lightning Crashes,5vVmnv4EN3X2VBa5Fo3UFM,60,0.263,0.391,324500,0.427,8.62e-06,11,0.174,-9.271,1,0.0438,93.192,4,0.45
126,Sixx:A.M.,This Is Gonna Hurt,1AnNNZspExK2PwVFbhw7G1,55,0.0008,0.557,236293,0.979,0.06,9,0.0283,-4.69,0,0.113,136.011,4,0.229
127,Avenged Sevenfold,Danger Line,7pS3O75hJnthHr64tlpqPn,59,0.00116,0.473,328387,0.767,0.000798,5,0.109,-6.383,1,0.0548,180.024,4,0.375
128,Metallica,Cyanide,2PSXyiERCaNmRyFA06UMjq,50,0.000122,0.312,399547,0.982,0.000334,2,0.302,-2.547,1,0.0776,129.203,4,0.498
129,Tenacious D,Master Exploder,56BNLFLPUL9NtIoxuC6dCQ,58,0.00962,0.311,144800,0.934,0.00863,11,0.127,-3.942,0,0.0737,74.47,4,0.574
130,Alter Bridge,In Loving Memory,0T9tbj6zsRKLiUx06sbOWX,56,0.00718,0.29,340107,0.634,8.26e-05,6,0.172,-5.95,1,0.0335,139.979,4,0.177
131,Brothers of Metal,Gods of War,4JKo9tyUlKXOH90xta27gg,46,7.26e-05,0.376,234842,0.852,0.00567,9,0.115,-4.92,1,0.0453,157.934,4,0.416
