,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
2399,Drake,Can’t Take A Joke,1dUHF4RyMmMTveJ0Rby6Xm,74,0.128,0.761,163974,0.598,0.0,10,0.0839,-7.249,0,0.182,173.897,4,0.447
2400,Michael Bublé,Love You Anymore,7JEUg9KqmpdIE5Nbb9ss66,75,0.869,0.693,182667,0.257,0.0,6,0.11,-7.785,1,0.0356,90.012,4,0.603
2401,BaseBoys,Tornado,1uRu43I8Lo4glvuiAxuGP8,37,0.0215,0.787,190227,0.711,0.0,9,0.215,-4.64,0,0.0466,110.029,4,0.765
2402,Chatle,Para (feat. ATYPISK),2BtJeIVnc5NPUY0hUOcX8T,44,0.018,0.787,255273,0.631,0.0,1,0.216,-5.067,0,0.0616,110.057,4,0.601
2403,Missy & Blonde,OTW - Acoustic Version,3kK2BuV20t1y7zMLSxDy6h,66,0.851,0.595,201656,0.294,0.0,8,0.129,-8.912,0,0.037,129.998,4,0.53
2404,First Aid Kit,Fireworks,3qJImzh896FdKl5mJfpFaC,62,0.597,0.502,254547,0.483,1.37e-06,8,0.108,-7.173,1,0.0247,92.579,3,0.243
2405,MØ,Sun In Our Eyes,5vsRm2aCBl5T2qdpvwtrf6,69,0.0384,0.757,217933,0.832,0.00241,4,0.661,-3.318,0,0.0758,125.894,4,0.386
2406,Juice WRLD,Candles,1wa6QQsdSE3X2GbRljGpFk,75,0.373,0.715,183703,0.574,0.0,7,0.174,-6.236,1,0.0817,157.0,4,0.337
2407,6ix9ine,"MAMA (feat. Nicki Minaj, Kanye West)",1oJ8EDr2pv94IvSd6ZmDgo,79,0.0893,0.761,192405,0.672,9.77e-06,1,0.14,-5.887,1,0.212,160.077,3,0.437
2408,BROCKHAMPTON,1999 WILDFIRE,1t4pPnbkOjzoA5RvsDjvUU,71,0.253,0.811,251250,0.57,0.0,5,0.148,-8.093,1,0.129,128.066,4,0.814
2409,Shoreline Mafia,Musty,2bkKnaLTMCghmjlcPBoYWd,74,0.00907,0.833,161558,0.203,5.91e-06,10,0.124,-12.456,0,0.211,100.023,4,0.04
